Type,ambient_cabinet_temp_k,processing_unit_temp_k,cooling_fan_speed_rpm,mechanical_load_nm,component_wear_min,equipment_failure,component_wear_failure,thermal_dissipation_failure,power_delivery_failure,overload_stress_failure,random_node_failure,failure_type,temp_delta_k,cabinet_temp_c,processing_temp_c,estimated_power_load,wear_load_interaction,thermal_stress_index,cooling_efficiency_index,speed_torque_ratio
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,none,10.5,24.950000000000045,35.450000000000045,6.951078534031413,0.0,449.4,5.025923509313274,36.2383169103197
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,none,10.5,25.05000000000001,35.55000000000001,6.826219895287958,138.89999999999998,486.15,4.561062505471129,30.41036651381498
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,none,10.399999999999977,24.950000000000045,35.35000000000002,7.748816753926701,247.0,513.7599999999989,4.855753630937589,30.32388602583227
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,none,10.400000000000034,25.05000000000001,35.450000000000045,5.927068062827225,276.5,410.8000000000013,4.643551507959975,36.278480094215695
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,none,10.5,25.05000000000001,35.55000000000001,5.897382198952879,360.0,420.0,4.561062505471129,35.19999912000002
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,none,10.5,24.950000000000045,35.450000000000045,6.252094240837696,460.9,439.95,4.617627982444498,34.00954572769581
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,none,10.5,24.950000000000045,35.450000000000045,6.917193717277486,593.6,445.2,5.048606594139318,36.74528215223391
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,none,10.5,24.950000000000045,35.450000000000045,6.42779057591623,643.2,422.1,4.94815293276684,37.98507368196334
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,none,10.399999999999977,25.150000000000034,35.55000000000001,4.992272251308901,514.8000000000001,297.4399999999994,5.400064770326969,58.28671124871639
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,none,10.5,25.350000000000023,35.85000000000002,5.104502617801047,588.0,294.0,5.634304188885747,62.17856920790824
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,none,10.5,25.25,35.75,4.4596649214659685,573.5999999999999,250.95,5.768857216675762,74.5606663363738
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,none,10.5,25.450000000000045,35.950000000000045,6.600931937172774,1284.6999999999998,465.15,4.603688111925952,32.121895437429
